Country,State,Year,Crime Head,"Number Of Incidences Or Cases (UOM:Number), Scaling Factor:1","Number Of Senior Citizen Victims (UOM:Number), Scaling Factor:1","Crime Rate Per Lakh Population (UOM:PerLakh(100000)), Scaling Factor:1"
India,0,0,0,0,0,0
India,0,0,1,0,0,0
India,0,0,2,0,0,0
India,0,0,3,2,2,7.9
India,0,0,4,1,1,3.9
India,0,0,5,4,4,15.7
India,0,0,6,1,1,3.9
India,0,0,7,1,1,3.9
India,0,0,8,0,0,0
India,0,0,9,1,1,3.9
India,0,0,10,16,16,62.9
India,0,0,11,0,0,0
India,0,0,12,0,0,0
India,0,0,13,0,0,0
India,0,0,14,0,0,0
India,0,0,15,0,0,0
India,0,0,16,27,27,106.2
India,0,0,17,0,0,0
India,0,0,18,1,1,3.9
India,0,0,19,2,2,7.9
India,0,0,20,2,2,7.9
India,0,0,21,0,0,0
India,0,0,22,0,0,0
India,1,0,19,593,612,12.3
India,1,0,10,628,630,13
India,1,0,9,81,84,1.7
India,1,0,20,64,64,1.3
India,1,0,8,5,5,0.1
India,1,0,7,29,29,0.6
India,1,0,6,14,14,0.3
India,1,0,5,171,171,3.5
India,1,0,4,13,13,0.3
India,1,0,3,144,144,3
India,1,0,2,12,12,0.2
India,1,0,1,0,0,0
India,1,0,0,0,0,0
India,1,0,15,0,0,0
India,1,0,14,2,2,0
India,1,0,13,129,130,2.7
India,1,0,17,125,125,2.6
India,1,0,22,0,0,0
India,1,0,21,35,36,0.7
India,1,0,16,2114,2140,43.7
India,1,0,18,229,229,4.7
India,1,0,12,10,10,0.2
India,1,0,11,1,1,0
India,2,0,0,0,0,0
India,2,0,9,1,1,1.6
India,2,0,10,3,3,4.7
India,2,0,11,0,0,0
India,2,0,12,0,0,0
India,2,0,19,1,1,1.6
India,2,0,18,1,1,1.6
India,2,0,16,7,7,11
India,2,0,4,1,1,1.6
India,2,0,3,0,0,0
India,2,0,2,0,0,0
India,2,0,1,0,0,0
India,2,0,15,0,0,0
India,2,0,14,0,0,0
India,2,0,13,0,0,0
India,2,0,17,0,0,0
India,2,0,22,0,0,0
India,2,0,21,0,0,0
India,2,0,20,0,0,0
India,2,0,5,1,1,1.6
India,2,0,6,0,0,0
India,2,0,7,0,0,0
India,2,0,8,0,0,0
India,3,0,0,0,0,0
India,3,0,15,0,0,0
India,3,0,14,0,0,0
India,3,0,13,0,0,0
India,3,0,16,6,7,0.3
India,3,0,18,0,0,0
India,3,0,19,0,0,0
India,3,0,12,0,0,0
India,3,0,11,0,0,0
India,3,0,10,0,0,0
India,3,0,9,6,7,0.3
India,3,0,8,0,0,0
India,3,0,7,0,0,0
India,3,0,6,0,0,0
India,3,0,5,0,0,0
India,3,0,4,0,0,0
India,3,0,3,0,0,0
India,3,0,17,0,0,0
India,3,0,20,0,0,0
India,3,0,21,0,0,0
India,3,0,22,0,0,0
India,3,0,2,0,0,0
India,3,0,1,0,0,0
India,4,0,11,2,2,0
India,4,0,9,39,39,0.5
India,4,0,8,0,0,0
India,4,0,7,31,31,0.4
India,4,0,6,7,7,0.1
India,4,0,5,9,9,0.1
India,4,0,4,2,2,0
India,4,0,3,0,0,0
India,4,0,2,2,2,0
India,4,0,1,0,0,0
India,4,0,0,0,0,0
India,4,0,15,0,0,0
India,4,0,14,1,1,0
India,4,0,13,0,0,0
India,4,0,17,0,0,0
India,4,0,22,0,0,0
India,4,0,21,12,12,0.2
India,4,0,20,0,0,0
India,4,0,16,252,252,3.3
India,4,0,18,5,5,0.1
India,4,0,19,151,151,2
